slug:3,run:3399 , run flag is NoFlag
slug:26,run:3805 , run flag is NeedCut
slug:30,run:3874 , run flag is NeedCut
slug:31,run:3890 , run flag is NoFlag
slug:31,run:3891 , run flag is NoFlag
slug:31,run:3892 , run flag is NoFlag
slug:31,run:3893 , run flag is NoFlag
slug:32,run:3897 , run flag is NeedCut
slug:34,run:3949 , run flag is NoFlag
slug:34,run:3950 , run flag is NoFlag
slug:38,run:4001 , run flag is NoFlag
slug:40,run:4024 , run flag is NoFlag
slug:40,run:4030 , run flag is NoFlag
slug:42,run:4060 , run flag is NoFlag
slug:46, run:4176 , run type is Junk
slug:46,run:4176 , run flag is Bad
slug:51,run:4267 , run flag is NoFlag
slug:51,run:4268 , run flag is NoFlag
slug:51,run:4272 , run flag is NoFlag
slug:52,run:4273 , run flag is NoFlag
slug:52,run:4274 , run flag is NoFlag
slug:52,run:4275 , run flag is NoFlag
slug:52,run:4276 , run flag is NoFlag
slug:52,run:4277 , run flag is NoFlag
slug:52,run:4278 , run flag is NoFlag
slug:52,run:4279 , run flag is NoFlag
slug:52,run:4280 , run flag is NoFlag
slug:52,run:4281 , run flag is NoFlag
slug:52,run:4282 , run flag is NoFlag
slug:52,run:4283 , run flag is NoFlag
slug:52,run:4284 , run flag is NoFlag
slug:53,run:4285 , run flag is NoFlag
slug:53,run:4286 , run flag is NoFlag
slug:53,run:4287 , run flag is NoFlag
slug:53,run:4288 , run flag is NoFlag
slug:53,run:4289 , run flag is NoFlag
slug:53,run:4290 , run flag is NoFlag
slug:53,run:4291 , run flag is NoFlag
slug:53,run:4292 , run flag is NoFlag
slug:53,run:4293 , run flag is NoFlag
slug:53,run:4294 , run flag is NoFlag
slug:54,run:4295 , run flag is NoFlag
slug:54,run:4296 , run flag is NoFlag
slug:54,run:4297 , run flag is NoFlag
slug:54,run:4298 , run flag is NoFlag
slug:54,run:4299 , run flag is NoFlag
slug:54,run:4300 , run flag is NoFlag
slug:54,run:4301 , run flag is NoFlag
slug:54,run:4302 , run flag is NeedCut
slug:54,run:4303 , run flag is NoFlag
slug:54,run:4306 , run flag is NoFlag
slug:54,run:4307 , run flag is NoFlag
slug:54,run:4308 , run flag is NoFlag
slug:54,run:4309 , run flag is NoFlag
slug:55,run:4310 , run flag is NoFlag
slug:55,run:4313 , run flag is NoFlag
slug:55,run:4317 , run flag is NoFlag
slug:55,run:4318 , run flag is NoFlag
slug:55,run:4319 , run flag is NoFlag
slug:55,run:4320 , run flag is NoFlag
slug:55,run:4321 , run flag is NoFlag
slug:55,run:4322 , run flag is NoFlag
slug:55,run:4323 , run flag is NoFlag
slug:55,run:4324 , run flag is NoFlag
slug:55,run:4325 , run flag is NoFlag
slug:55,run:4326 , run flag is NoFlag
slug:55,run:4329 , run flag is NoFlag
slug:59,run:4368 , run flag is Suspicious
slug:59, run:4372 , run type is Junk
slug:59,run:4396 , run flag is NeedCut
slug:59,run:4401 , run flag is NoFlag
slug:59,run:4402 , run flag is NoFlag
slug:59,run:4403 , run flag is NoFlag
slug:59,run:4404 , run flag is NoFlag
slug:59,run:4406 , run flag is NoFlag
slug:60,run:4475 , run flag is NoFlag
slug:62,run:4502 , run flag is NoFlag
slug:63,run:4503 , run flag is NeedCut
slug:64,run:4515 , run flag is NoFlag
slug:64,run:4516 , run flag is NoFlag
slug:64,run:4517 , run flag is NoFlag
slug:65,run:4529 , run flag is NeedCut
slug:65,run:4532 , run flag is NeedCut
slug:65,run:4536 , run flag is NeedCut
slug:66,run:4538 , run flag is NoFlag
slug:66,run:4539 , run flag is NoFlag
slug:66,run:4540 , run flag is NoFlag
slug:66,run:4541 , run flag is NoFlag
slug:66,run:4542 , run flag is NoFlag
slug:66,run:4543 , run flag is NoFlag
slug:66,run:4544 , run flag is NoFlag
slug:66,run:4545 , run flag is NoFlag
slug:66,run:4546 , run flag is NoFlag
slug:66,run:4547 , run flag is NoFlag
slug:66,run:4548 , run flag is NoFlag
slug:66,run:4549 , run flag is NoFlag
slug:67,run:4550 , run flag is NoFlag
slug:67,run:4551 , run flag is NoFlag
slug:67,run:4552 , run flag is NoFlag
slug:67,run:4553 , run flag is NoFlag
slug:67,run:4554 , run flag is NoFlag
slug:67,run:4555 , run flag is NoFlag
slug:67,run:4556 , run flag is NoFlag
